Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2019-02-01 00:00:00,01001,"Agawam, MA",*,209500.000000,0.0411,,47.0,-0.1532,-0.1132,80.75,0.0731,,8.0,-0.5000,-0.5556,0.0,,-1.0000,6.0,-0.5714,-0.6250,1.0,0.0000,0.0000,242888.0000,0.0217,-0.1314,48.0,-0.1504,-0.1111,0.0213,0.0033,0.0024
2019-02-01 00:00:00,01002,"Amherst, MA",,447225.000000,-0.0150,0.1540,56.0,0.1200,-0.2483,111.25,-0.0133,-0.0992,18.0,2.0000,0.2857,0.0,,,8.0,0.0000,1.0000,0.0,,,493027.0000,-0.0132,0.0617,56.0,0.1200,-0.2483,0.0000,0.0000,0.0000
2019-02-01 00:00:00,01005,"Barre, MA",*,241550.000000,-0.0069,0.0679,16.5,-0.3529,0.0313,131.00,0.2358,,2.0,-0.5000,-0.5000,0.0,,,4.0,1.0000,1.0000,0.0,,,343905.0000,0.0343,0.6497,16.5,-0.3529,0.0313,0.0000,0.0000,0.0000
2019-02-01 00:00:00,01007,"Belchertown, MA",,331225.000000,-0.0076,-0.0398,49.0,0.0889,-0.2033,62.75,-0.2324,-0.4136,14.0,-0.2222,-0.4167,0.0,,,10.0,0.2500,1.5000,0.0,,,324858.0000,-0.0221,-0.0564,49.0,0.0889,-0.2033,0.0000,0.0000,0.0000
2019-02-01 00:00:00,01008,"Blandford, MA",*,216275.000000,-0.0333,,9.5,0.0556,,84.50,-0.3088,,4.0,1.0000,1.0000,0.0,,,4.0,,,2.0,0.0000,0.3333,224871.0000,-0.0243,0.0409,11.5,0.0455,0.4375,0.2105,-0.0117,-0.0202
2019-02-01 00:00:00,01010,"Brimfield, MA",*,391000.000000,0.1107,,13.0,0.1304,-0.2353,62.00,-0.0781,-0.4338,2.0,-0.6667,-0.5000,0.0,,,0.0,-1.0000,-1.0000,0.0,,,728494.0000,-0.0352,1.1101,13.0,0.1304,-0.2353,0.0000,0.0000,0.0000
2019-02-01 00:00:00,01013,"Chicopee, MA",*,164950.000000,-0.0424,,26.0,0.0196,-0.1613,57.00,-0.0539,,10.0,-0.1667,-0.4444,0.0,,-1.0000,10.0,0.0000,0.0000,0.0,,,167882.0000,-0.0164,-0.0941,26.0,0.0196,-0.1613,0.0000,0.0000,0.0000
2019-02-01 00:00:00,01020,"Chicopee, MA",,176275.000000,0.0426,-0.0600,42.5,-0.0761,-0.1905,43.00,-0.1179,-0.2586,24.0,0.3333,0.0000,0.0,,,10.0,-0.1667,-0.2857,0.0,,,198310.0000,-0.0161,-0.0162,42.5,-0.0761,-0.1905,0.0000,0.0000,0.0000
2019-02-01 00:00:00,01022,"Chicopee, MA",,131200.000000,0.0096,0.0892,7.0,0.1667,0.2727,33.00,-0.0704,-0.6835,2.0,-0.6667,-0.5000,0.0,,,4.0,0.0000,,0.0,,,141233.0000,0.0545,0.1588,7.0,0.1667,0.2727,0.0000,0.0000,0.0000
2019-02-01 00:00:00,01027,"Easthampton, MA",*,302225.000000,0.0076,,20.5,0.0000,,57.50,-0.2359,,10.0,1.5000,0.6667,0.0,,,6.0,0.5000,2.0000,0.0,,,302747.0000,-0.0243,-0.0470,20.5,0.0000,0.6400,0.0000,0.0000,0.0000
