Name,Move,Move_points
Bulbasaur,razor-wind,80
Bulbasaur,swords-dance,
Bulbasaur,cut,50
Bulbasaur,bind,15
Bulbasaur,vine-whip,45
Bulbasaur,headbutt,70
Bulbasaur,tackle,40
Bulbasaur,body-slam,85
Bulbasaur,take-down,90
Bulbasaur,double-edge,120
Bulbasaur,growl,
Bulbasaur,strength,80
Bulbasaur,mega-drain,40
Bulbasaur,leech-seed,
Bulbasaur,growth,
Bulbasaur,razor-leaf,55
Bulbasaur,solar-beam,120
Bulbasaur,poison-powder,
Bulbasaur,sleep-powder,
Bulbasaur,petal-dance,120
Bulbasaur,string-shot,
Bulbasaur,toxic,
Bulbasaur,rage,20
Bulbasaur,mimic,
Bulbasaur,double-team,
Bulbasaur,defense-curl,
Bulbasaur,light-screen,
Bulbasaur,reflect,
Bulbasaur,bide,
Bulbasaur,sludge,65
Bulbasaur,skull-bash,130
Bulbasaur,amnesia,
Bulbasaur,flash,
Bulbasaur,rest,
Bulbasaur,substitute,
Bulbasaur,snore,50
Bulbasaur,curse,
Bulbasaur,protect,
Bulbasaur,sludge-bomb,90
Bulbasaur,mud-slap,20
Bulbasaur,giga-drain,75
Bulbasaur,endure,
Bulbasaur,charm,
Bulbasaur,swagger,
Bulbasaur,fury-cutter,40
Bulbasaur,attract,
Bulbasaur,sleep-talk,
Bulbasaur,return,
Bulbasaur,frustration,
Bulbasaur,safeguard,
Bulbasaur,sweet-scent,
Bulbasaur,synthesis,
Bulbasaur,hidden-power,60
Bulbasaur,sunny-day,
Bulbasaur,rock-smash,40
Bulbasaur,facade,70
Bulbasaur,nature-power,
Bulbasaur,ingrain,
Bulbasaur,knock-off,65
Bulbasaur,secret-power,70
Bulbasaur,grass-whistle,
Bulbasaur,bullet-seed,25
Bulbasaur,magical-leaf,60
Bulbasaur,natural-gift,
Bulbasaur,worry-seed,
Bulbasaur,seed-bomb,80
Bulbasaur,energy-ball,90
Bulbasaur,leaf-storm,130
Bulbasaur,power-whip,120
Bulbasaur,captivate,
Bulbasaur,grass-knot,
Bulbasaur,venoshock,65
Bulbasaur,round,60
Bulbasaur,echoed-voice,40
Bulbasaur,grass-pledge,80
Bulbasaur,work-up,
Bulbasaur,grassy-terrain,
Bulbasaur,confide,
Ivysaur,swords-dance,
Ivysaur,cut,50
Ivysaur,bind,15
Ivysaur,vine-whip,45
Ivysaur,headbutt,70
Ivysaur,tackle,40
Ivysaur,body-slam,85
Ivysaur,take-down,90
Ivysaur,double-edge,120
Ivysaur,growl,
Ivysaur,strength,80
Ivysaur,mega-drain,40
Ivysaur,leech-seed,
Ivysaur,growth,
Ivysaur,razor-leaf,55
Ivysaur,solar-beam,120
Ivysaur,poison-powder,
Ivysaur,sleep-powder,
Ivysaur,string-shot,
Ivysaur,toxic,
Ivysaur,rage,20
Ivysaur,mimic,
Ivysaur,double-team,
Ivysaur,defense-curl,
Ivysaur,light-screen,
Ivysaur,reflect,
Ivysaur,bide,
Ivysaur,flash,
Ivysaur,rest,
Ivysaur,substitute,
Ivysaur,snore,50
Ivysaur,curse,
Ivysaur,protect,
Ivysaur,sludge-bomb,90
Ivysaur,mud-slap,20
Ivysaur,giga-drain,75
Ivysaur,endure,
Ivysaur,swagger,
Ivysaur,fury-cutter,40
Ivysaur,attract,
Ivysaur,sleep-talk,
Ivysaur,return,
Ivysaur,frustration,
Ivysaur,safeguard,
Ivysaur,sweet-scent,
Ivysaur,synthesis,
Ivysaur,hidden-power,60
Ivysaur,sunny-day,
Ivysaur,rock-smash,40
Ivysaur,facade,70
Ivysaur,nature-power,
Ivysaur,knock-off,65
Ivysaur,secret-power,70
Ivysaur,bullet-seed,25
Ivysaur,natural-gift,
Ivysaur,worry-seed,
Ivysaur,seed-bomb,80
Ivysaur,energy-ball,90
Ivysaur,captivate,
Ivysaur,grass-knot,
Ivysaur,venoshock,65
Ivysaur,round,60
Ivysaur,echoed-voice,40
Ivysaur,grass-pledge,80
Ivysaur,work-up,
Ivysaur,confide,
Venusaur,swords-dance,
Venusaur,cut,50
Venusaur,bind,15
Venusaur,vine-whip,45
Venusaur,headbutt,70
Venusaur,tackle,40
Venusaur,body-slam,85
Venusaur,take-down,90
Venusaur,double-edge,120
Venusaur,growl,
Venusaur,roar,
Venusaur,hyper-beam,150
Venusaur,strength,80
Venusaur,mega-drain,40
Venusaur,leech-seed,
Venusaur,growth,
Venusaur,razor-leaf,55
Venusaur,solar-beam,120
Venusaur,poison-powder,
Venusaur,sleep-powder,
Venusaur,petal-dance,120
Venusaur,string-shot,
Venusaur,earthquake,100
Venusaur,toxic,
Venusaur,rage,20
Venusaur,mimic,
Venusaur,double-team,
Venusaur,defense-curl,
Venusaur,light-screen,
Venusaur,reflect,
Venusaur,bide,
Venusaur,flash,
Venusaur,rest,
Venusaur,substitute,
Venusaur,snore,50
Venusaur,curse,
Venusaur,protect,
Venusaur,sludge-bomb,90
Venusaur,mud-slap,20
Venusaur,outrage,120
Venusaur,giga-drain,75
Venusaur,endure,
Venusaur,swagger,
Venusaur,fury-cutter,40
Venusaur,attract,
Venusaur,sleep-talk,
Venusaur,return,
Venusaur,frustration,
Venusaur,safeguard,
Venusaur,sweet-scent,
Venusaur,synthesis,
Venusaur,hidden-power,60
Venusaur,sunny-day,
Venusaur,rock-smash,40
Venusaur,facade,70
Venusaur,nature-power,
Venusaur,knock-off,65
Venusaur,secret-power,70
Venusaur,bullet-seed,25
Venusaur,block,
Venusaur,frenzy-plant,150
Venusaur,natural-gift,
Venusaur,worry-seed,
Venusaur,seed-bomb,80
Venusaur,energy-ball,90
Venusaur,giga-impact,150
Venusaur,rock-climb,90
Venusaur,captivate,
Venusaur,grass-knot,
Venusaur,venoshock,65
Venusaur,round,60
Venusaur,echoed-voice,40
Venusaur,grass-pledge,80
Venusaur,bulldoze,60
Venusaur,work-up,
Venusaur,petal-blizzard,90
Venusaur,confide,
Charmander,mega-punch,80
Charmander,fire-punch,75
Charmander,thunder-punch,75
Charmander,scratch,40
Charmander,swords-dance,
Charmander,cut,50
Charmander,mega-kick,120
Charmander,headbutt,70
Charmander,body-slam,85
Charmander,take-down,90
Charmander,double-edge,120
Charmander,leer,
Charmander,bite,60
Charmander,growl,
Charmander,ember,40
Charmander,flamethrower,90
Charmander,submission,80
Charmander,counter,
Charmander,seismic-toss,
Charmander,strength,80
Charmander,dragon-rage,
Charmander,fire-spin,35
Charmander,dig,80
Charmander,toxic,
Charmander,rage,20
Charmander,mimic,
Charmander,double-team,
Charmander,smokescreen,
Charmander,defense-curl,
Charmander,reflect,
Charmander,bide,
Charmander,fire-blast,110
Charmander,swift,60
Charmander,skull-bash,130
Charmander,rest,
Charmander,rock-slide,75
Charmander,slash,70
Charmander,substitute,
Charmander,snore,50
Charmander,curse,
Charmander,protect,
Charmander,scary-face,
Charmander,belly-drum,
Charmander,mud-slap,20
Charmander,outrage,120
Charmander,endure,
Charmander,swagger,
Charmander,fury-cutter,40
Charmander,attract,
Charmander,sleep-talk,
Charmander,return,
Charmander,frustration,
Charmander,dynamic-punch,100
Charmander,dragon-breath,60
Charmander,iron-tail,100
Charmander,metal-claw,50
Charmander,hidden-power,60
Charmander,sunny-day,
Charmander,crunch,80
Charmander,ancient-power,60
Charmander,rock-smash,40
Charmander,beat-up,
Charmander,heat-wave,95
Charmander,will-o-wisp,
Charmander,facade,70
Charmander,focus-punch,150
Charmander,brick-break,75
Charmander,secret-power,70
Charmander,air-cutter,60
Charmander,overheat,130
Charmander,rock-tomb,60
Charmander,aerial-ace,60
Charmander,dragon-claw,80
Charmander,dragon-dance,
Charmander,natural-gift,
Charmander,fling,
Charmander,flare-blitz,120
Charmander,dragon-pulse,85
Charmander,dragon-rush,100
Charmander,shadow-claw,70
Charmander,fire-fang,65
Charmander,captivate,
Charmander,hone-claws,
Charmander,flame-burst,70
Charmander,flame-charge,50
Charmander,round,60
Charmander,echoed-voice,40
Charmander,incinerate,60
Charmander,inferno,100
Charmander,fire-pledge,80
Charmander,work-up,
Charmander,confide,
Charmander,power-up-punch,40
Charmeleon,mega-punch,80
Charmeleon,fire-punch,75
Charmeleon,thunder-punch,75
Charmeleon,scratch,40
Charmeleon,swords-dance,
Charmeleon,cut,50
Charmeleon,mega-kick,120
Charmeleon,headbutt,70
Charmeleon,body-slam,85
Charmeleon,take-down,90
Charmeleon,double-edge,120
Charmeleon,leer,
Charmeleon,growl,
Charmeleon,ember,40
Charmeleon,flamethrower,90
Charmeleon,submission,80
Charmeleon,counter,
Charmeleon,seismic-toss,
Charmeleon,strength,80
Charmeleon,dragon-rage,
Charmeleon,fire-spin,35
Charmeleon,dig,80
Charmeleon,toxic,
Charmeleon,rage,20
Charmeleon,mimic,
Charmeleon,double-team,
Charmeleon,smokescreen,
Charmeleon,defense-curl,
Charmeleon,reflect,
Charmeleon,bide,
Charmeleon,fire-blast,110
Charmeleon,swift,60
Charmeleon,skull-bash,130
Charmeleon,rest,
Charmeleon,rock-slide,75
Charmeleon,slash,70
Charmeleon,substitute,
Charmeleon,snore,50
Charmeleon,curse,
Charmeleon,protect,
Charmeleon,scary-face,
Charmeleon,mud-slap,20
Charmeleon,outrage,120
Charmeleon,endure,
Charmeleon,swagger,
Charmeleon,fury-cutter,40
Charmeleon,attract,
Charmeleon,sleep-talk,
Charmeleon,return,
Charmeleon,frustration,
Charmeleon,dynamic-punch,100
Charmeleon,dragon-breath,60
Charmeleon,iron-tail,100
Charmeleon,metal-claw,50
Charmeleon,hidden-power,60
Charmeleon,sunny-day,
Charmeleon,rock-smash,40
Charmeleon,heat-wave,95
Charmeleon,will-o-wisp,
Charmeleon,facade,70
Charmeleon,focus-punch,150
Charmeleon,brick-break,75
Charmeleon,secret-power,70
Charmeleon,overheat,130
Charmeleon,rock-tomb,60
Charmeleon,aerial-ace,60
Charmeleon,dragon-claw,80
Charmeleon,natural-gift,
Charmeleon,fling,
Charmeleon,dragon-pulse,85
Charmeleon,shadow-claw,70
Charmeleon,fire-fang,65
Charmeleon,captivate,
Charmeleon,hone-claws,
Charmeleon,flame-burst,70
Charmeleon,flame-charge,50
Charmeleon,round,60
Charmeleon,echoed-voice,40
Charmeleon,incinerate,60
Charmeleon,inferno,100
Charmeleon,fire-pledge,80
Charmeleon,work-up,
Charmeleon,confide,
Charmeleon,power-up-punch,40
Charizard,mega-punch,80
Charizard,fire-punch,75
Charizard,thunder-punch,75
Charizard,scratch,40
Charizard,swords-dance,
Charizard,cut,50
Charizard,wing-attack,60
Charizard,fly,90
Charizard,mega-kick,120
Charizard,headbutt,70
Charizard,body-slam,85
Charizard,take-down,90
Charizard,double-edge,120
Charizard,leer,
Charizard,growl,
Charizard,roar,
Charizard,ember,40
Charizard,flamethrower,90
Charizard,hyper-beam,150
Charizard,submission,80
Charizard,counter,
Charizard,seismic-toss,
Charizard,strength,80
Charizard,solar-beam,120
Charizard,dragon-rage,
Charizard,fire-spin,35
Charizard,earthquake,100
Charizard,fissure,
Charizard,dig,80
Charizard,toxic,
Charizard,rage,20
Charizard,mimic,
Charizard,double-team,
Charizard,smokescreen,
Charizard,defense-curl,
Charizard,reflect,
Charizard,bide,
Charizard,fire-blast,110
Charizard,swift,60
Charizard,skull-bash,130
Charizard,rest,
Charizard,rock-slide,75
Charizard,slash,70
Charizard,substitute,
Charizard,snore,50
Charizard,curse,
Charizard,protect,
Charizard,scary-face,
Charizard,mud-slap,20
Charizard,outrage,120
Charizard,sandstorm,
Charizard,endure,
Charizard,swagger,
Charizard,fury-cutter,40
Charizard,steel-wing,70
Charizard,attract,
Charizard,sleep-talk,
Charizard,return,
Charizard,frustration,
Charizard,dynamic-punch,100
Charizard,dragon-breath,60
Charizard,iron-tail,100
Charizard,metal-claw,50
Charizard,hidden-power,60
Charizard,twister,40
Charizard,sunny-day,
Charizard,rock-smash,40
Charizard,heat-wave,95
Charizard,will-o-wisp,
Charizard,facade,70
Charizard,focus-punch,150
Charizard,brick-break,75
Charizard,secret-power,70
Charizard,blast-burn,150
Charizard,air-cutter,60
Charizard,overheat,130
Charizard,rock-tomb,60
Charizard,aerial-ace,60
Charizard,dragon-claw,80
Charizard,roost,
Charizard,natural-gift,
Charizard,tailwind,
Charizard,fling,
Charizard,flare-blitz,120
Charizard,air-slash,75
Charizard,dragon-pulse,85
Charizard,focus-blast,120
Charizard,giga-impact,150
Charizard,shadow-claw,70
Charizard,fire-fang,65
Charizard,defog,
Charizard,captivate,
Charizard,ominous-wind,60
Charizard,hone-claws,
Charizard,flame-burst,70
Charizard,flame-charge,50
Charizard,round,60
Charizard,echoed-voice,40
Charizard,sky-drop,60
Charizard,incinerate,60
Charizard,inferno,100
Charizard,fire-pledge,80
Charizard,bulldoze,60
Charizard,dragon-tail,60
Charizard,work-up,
Charizard,confide,
Charizard,power-up-punch,40
Charizard,brutal-swing,60
Squirtle,mega-punch,80
Squirtle,ice-punch,75
Squirtle,mega-kick,120
Squirtle,headbutt,70
Squirtle,tackle,40
Squirtle,body-slam,85
Squirtle,take-down,90
Squirtle,double-edge,120
Squirtle,tail-whip,
Squirtle,bite,60
Squirtle,mist,
Squirtle,water-gun,40
Squirtle,hydro-pump,110
Squirtle,surf,90
Squirtle,ice-beam,90
Squirtle,blizzard,110
Squirtle,bubble-beam,65
Squirtle,submission,80
Squirtle,counter,
Squirtle,seismic-toss,
Squirtle,strength,80
Squirtle,dig,80
Squirtle,toxic,
Squirtle,confusion,50
Squirtle,rage,20
Squirtle,mimic,
Squirtle,double-team,
Squirtle,withdraw,
Squirtle,defense-curl,
Squirtle,haze,
Squirtle,reflect,
Squirtle,bide,
Squirtle,waterfall,80
Squirtle,skull-bash,130
Squirtle,bubble,40
Squirtle,rest,
Squirtle,substitute,
Squirtle,snore,50
Squirtle,curse,
Squirtle,flail,
Squirtle,protect,
Squirtle,mud-slap,20
Squirtle,foresight,
Squirtle,icy-wind,55
Squirtle,endure,
Squirtle,rollout,30
Squirtle,swagger,
Squirtle,attract,
Squirtle,sleep-talk,
Squirtle,return,
Squirtle,frustration,
Squirtle,dynamic-punch,100
Squirtle,rapid-spin,20
Squirtle,iron-tail,100
Squirtle,hidden-power,60
Squirtle,rain-dance,
Squirtle,mirror-coat,
Squirtle,rock-smash,40
Squirtle,whirlpool,35
Squirtle,fake-out,40
Squirtle,hail,
Squirtle,facade,70
Squirtle,focus-punch,150
Squirtle,brick-break,75
Squirtle,yawn,
Squirtle,refresh,
Squirtle,secret-power,70
Squirtle,dive,80
Squirtle,mud-sport,
Squirtle,rock-tomb,60
Squirtle,water-spout,150
Squirtle,muddy-water,90
Squirtle,iron-defense,
Squirtle,water-pulse,60
Squirtle,gyro-ball,
Squirtle,brine,65
Squirtle,natural-gift,
Squirtle,fling,
Squirtle,aqua-ring,
Squirtle,aura-sphere,80
Squirtle,aqua-tail,90
Squirtle,dragon-pulse,85
Squirtle,zen-headbutt,80
Squirtle,captivate,
Squirtle,aqua-jet,40
Squirtle,round,60
Squirtle,scald,80
Squirtle,water-pledge,80
Squirtle,work-up,
Squirtle,confide,
Squirtle,power-up-punch,40
Wartortle,mega-punch,80
Wartortle,ice-punch,75
Wartortle,mega-kick,120
Wartortle,headbutt,70
Wartortle,tackle,40
Wartortle,body-slam,85
Wartortle,take-down,90
Wartortle,double-edge,120
Wartortle,tail-whip,
Wartortle,bite,60
Wartortle,water-gun,40
Wartortle,hydro-pump,110
Wartortle,surf,90
Wartortle,ice-beam,90
Wartortle,blizzard,110
Wartortle,bubble-beam,65
Wartortle,submission,80
Wartortle,counter,
Wartortle,seismic-toss,
Wartortle,strength,80
Wartortle,dig,80
Wartortle,toxic,
Wartortle,rage,20
Wartortle,mimic,
Wartortle,double-team,
Wartortle,withdraw,
Wartortle,defense-curl,
Wartortle,reflect,
Wartortle,bide,
Wartortle,waterfall,80
Wartortle,skull-bash,130
Wartortle,bubble,40
Wartortle,rest,
Wartortle,substitute,
Wartortle,snore,50
Wartortle,curse,
Wartortle,protect,
Wartortle,mud-slap,20
Wartortle,icy-wind,55
Wartortle,endure,
Wartortle,rollout,30
Wartortle,swagger,
Wartortle,attract,
Wartortle,sleep-talk,
Wartortle,return,
Wartortle,frustration,
Wartortle,dynamic-punch,100
Wartortle,rapid-spin,20
Wartortle,iron-tail,100
Wartortle,hidden-power,60
Wartortle,rain-dance,
Wartortle,rock-smash,40
Wartortle,whirlpool,35
Wartortle,hail,
Wartortle,facade,70
Wartortle,focus-punch,150
Wartortle,brick-break,75
Wartortle,secret-power,70
Wartortle,dive,80
Wartortle,rock-tomb,60
Wartortle,iron-defense,
Wartortle,water-pulse,60
Wartortle,gyro-ball,
Wartortle,brine,65
Wartortle,natural-gift,
Wartortle,fling,
Wartortle,aqua-tail,90
Wartortle,dragon-pulse,85
Wartortle,zen-headbutt,80
Wartortle,captivate,
Wartortle,round,60
Wartortle,scald,80
Wartortle,water-pledge,80
Wartortle,work-up,
Wartortle,confide,
Wartortle,power-up-punch,40
Blastoise,mega-punch,80
Blastoise,ice-punch,75
Blastoise,mega-kick,120
Blastoise,headbutt,70
Blastoise,tackle,40
Blastoise,body-slam,85
Blastoise,take-down,90
Blastoise,double-edge,120
Blastoise,tail-whip,
Blastoise,bite,60
Blastoise,roar,
Blastoise,water-gun,40
Blastoise,hydro-pump,110
Blastoise,surf,90
Blastoise,ice-beam,90
Blastoise,blizzard,110
Blastoise,bubble-beam,65
Blastoise,hyper-beam,150
Blastoise,submission,80
Blastoise,counter,
Blastoise,seismic-toss,
Blastoise,strength,80
Blastoise,earthquake,100
Blastoise,fissure,
Blastoise,dig,80
Blastoise,toxic,
Blastoise,rage,20
Blastoise,mimic,
Blastoise,double-team,
Blastoise,withdraw,
Blastoise,defense-curl,
Blastoise,reflect,
Blastoise,bide,
Blastoise,waterfall,80
Blastoise,skull-bash,130
Blastoise,bubble,40
Blastoise,rest,
Blastoise,rock-slide,75
Blastoise,substitute,
Blastoise,snore,50
Blastoise,curse,
Blastoise,protect,
Blastoise,mud-slap,20
Blastoise,icy-wind,55
Blastoise,outrage,120
Blastoise,endure,
Blastoise,rollout,30
Blastoise,swagger,
Blastoise,attract,
